customer_id,customer_status_id,last_name,email,phone_number,Street,City,State,Zipcode
1,4,Smith,jsmith1@customer.com,555-190-3233,123 Main St, Springfield, IL,11987
2,5,Johnson,jjohnson2@customer.com,555-525-8357,123 Main St, Springfield, IL,66382
3,4,Williams,jwilliams3@customer.com,555-933-4447,123 Main St, Springfield, IL,22527
4,2,Brown,jbrown4@customer.com,555-897-0326,123 Main St, Springfield, IL,50410
5,2,Jones,jjones5@customer.com,555-762-5836,123 Main St, Springfield, IL,61414
6,3,Garcia,jgarcia6@customer.com,555-582-5709,123 Main St, Springfield, IL,84434
7,4,Miller,jmiller7@customer.com,555-195-1985,123 Main St, Springfield, IL,75482
8,1,Davis,jdavis8@customer.com,555-416-2205,123 Main St, Springfield, IL,96656
9,4,Rodriguez,jrodriguez9@customer.com,555-880-8679,123 Main St, Springfield, IL,37236
10,1,Martinez,jmartinez10@customer.com,555-283-4564,123 Main St, Springfield, IL,42090
11,5,Hernandez,jhernandez11@customer.com,555-279-8494,123 Main St, Springfield, IL,25112
12,3,Lopez,jlopez12@customer.com,555-284-2248,123 Main St, Springfield, IL,37097
13,4,Gonzalez,jgonzalez13@customer.com,555-224-3907,123 Main St, Springfield, IL,80211
14,1,Wilson,jwilson14@customer.com,555-651-0888,123 Main St, Springfield, IL,21977
15,1,Anderson,janderson15@customer.com,555-928-1269,123 Main St, Springfield, IL,49220
16,3,Thomas,jthomas16@customer.com,555-764-7525,123 Main St, Springfield, IL,20531
17,3,Taylor,jtaylor17@customer.com,555-432-3796,123 Main St, Springfield, IL,10306
18,2,Moore,jmoore18@customer.com,555-585-8964,123 Main St, Springfield, IL,60963
19,3,Jackson,jjackson19@customer.com,555-981-0349,123 Main St, Springfield, IL,51283
20,2,Martin,jmartin20@customer.com,555-648-6689,123 Main St, Springfield, IL,44051
21,2,Peter,jpeter21@customer.com,555-298-7370,123 Main St, Springfield, IL,90231
22,2,Victoria,jvictoria22@customer.com,555-777-8852,123 Main St, Springfield, IL,70950
23,2,Raymond,jraymond23@customer.com,555-453-6709,123 Main St, Springfield, IL,97620
24,4,Julia,jjulia24@customer.com,555-366-5637,123 Main St, Springfield, IL,93001
25,4,Scott,jscott25@customer.com,555-181-1932,123 Main St, Springfield, IL,31126
26,3,Grace,jgrace26@customer.com,555-019-0071,123 Main St, Springfield, IL,57323
27,2,Dennis,jdennis27@customer.com,555-137-9377,123 Main St, Springfield, IL,92259
28,1,Evelyn,jevelyn28@customer.com,555-069-0197,123 Main St, Springfield, IL,12903
29,4,Gregory,jgregory29@customer.com,555-887-3481,123 Main St, Springfield, IL,40409
30,2,Anna,janna30@customer.com,555-563-7565,123 Main St, Springfield, IL,57485
31,1,Walter,jwalter31@customer.com,555-033-4018,123 Main St, Springfield, IL,41757
32,3,Rose,jrose32@customer.com,555-244-5569,123 Main St, Springfield, IL,92712
33,3,Patrick,jpatrick33@customer.com,555-666-4228,123 Main St, Springfield, IL,42937
34,1,Judith,jjudith34@customer.com,555-779-8995,123 Main St, Springfield, IL,83934
35,2,Henry,jhenry35@customer.com,555-150-0658,123 Main St, Springfield, IL,91209
36,3,Christina,jchristina36@customer.com,555-589-6120,123 Main St, Springfield, IL,99245
37,4,Douglas,jdouglas37@customer.com,555-318-4273,123 Main St, Springfield, IL,38886
38,1,Maria,jmaria38@customer.com,555-479-9998,123 Main St, Springfield, IL,67435
39,2,Harold,jharold39@customer.com,555-535-1841,123 Main St, Springfield, IL,35647
40,3,Nicole,jnicole40@customer.com,555-386-3801,123 Main St, Springfield, IL,91952
41,4,Alexander,jalexander41@customer.com,555-334-9898,123 Main St, Springfield, IL,54041
42,1,Megan,jmegan42@customer.com,555-923-9373,123 Main St, Springfield, IL,25539
43,5,Samuel,jsamuel43@customer.com,555-963-8196,123 Main St, Springfield, IL,56959
44,3,Dorothy,jdorothy44@customer.com,555-967-4371,123 Main St, Springfield, IL,43712
45,4,Frank,jfrank45@customer.com,555-004-8102,123 Main St, Springfield, IL,20997
46,5,Sophia,jsophia46@customer.com,555-596-0484,123 Main St, Springfield, IL,46832
47,2,Lawrence,jlawrence47@customer.com,555-934-7865,123 Main St, Springfield, IL,93316
48,3,Alice,jalice48@customer.com,555-612-2827,123 Main St, Springfield, IL,81133
49,1,Arthur,jarthur49@customer.com,555-400-4816,123 Main St, Springfield, IL,19291
50,1,Ruth,jruth50@customer.com,555-930-8392,123 Main St, Springfield, IL,17340
51,2,Philip,jphilip51@customer.com,555-092-6976,123 Main St, Springfield, IL,23687
52,4,Diana,jdiana52@customer.com,555-202-2321,123 Main St, Springfield, IL,29432
53,5,Roger,jroger53@customer.com,555-886-3894,123 Main St, Springfield, IL,56308
54,3,Natalie,jnatalie54@customer.com,555-662-5380,123 Main St, Springfield, IL,40637
55,3,Benjamin,jbenjamin55@customer.com,555-918-6271,123 Main St, Springfield, IL,88442
56,5,Virginia,jvirginia56@customer.com,555-531-0721,123 Main St, Springfield, IL,36339
57,3,Bruce,jbruce57@customer.com,555-965-3685,123 Main St, Springfield, IL,69564
58,2,Madison,jmadison58@customer.com,555-316-5957,123 Main St, Springfield, IL,78296
59,4,Adam,jadam59@customer.com,555-164-7552,123 Main St, Springfield, IL,43381
60,3,Abigail,jabigail60@customer.com,555-576-1157,123 Main St, Springfield, IL,79371
61,5,Gerald,jgerald61@customer.com,555-807-4823,123 Main St, Springfield, IL,96725
62,3,Lauren,jlauren62@customer.com,555-128-8807,123 Main St, Springfield, IL,60102
63,4,Keith,jkeith63@customer.com,555-792-0539,123 Main St, Springfield, IL,15537
64,1,Isabella,jisabella64@customer.com,555-123-4149,123 Main St, Springfield, IL,94611
65,3,Terry,jterry65@customer.com,555-245-3046,123 Main St, Springfield, IL,43451
66,3,Jane,jjane66@customer.com,555-503-4760,123 Main St, Springfield, IL,96455
67,3,Wayne,jwayne67@customer.com,555-809-3735,123 Main St, Springfield, IL,89637
68,4,Amy,jamy68@customer.com,555-268-3976,123 Main St, Springfield, IL,27431
69,3,Ralph,jralph69@customer.com,555-039-4112,123 Main St, Springfield, IL,49989
70,5,Cynthia,jcynthia70@customer.com,555-249-4491,123 Main St, Springfield, IL,62329
71,3,Smith,jsmith71@customer.com,555-260-1649,456 Elm St, Anytown, CA,19204
72,2,Johnson,jjohnson72@customer.com,555-030-1759,456 Elm St, Anytown, CA,67386
73,1,Williams,jwilliams73@customer.com,555-126-7689,456 Elm St, Anytown, CA,57469
74,4,Brown,jbrown74@customer.com,555-119-6935,456 Elm St, Anytown, CA,36919
75,1,Jones,jjones75@customer.com,555-032-0549,456 Elm St, Anytown, CA,89074
76,3,Garcia,jgarcia76@customer.com,555-831-7733,456 Elm St, Anytown, CA,84001
77,1,Miller,jmiller77@customer.com,555-713-8738,456 Elm St, Anytown, CA,22524
78,4,Davis,jdavis78@customer.com,555-213-6332,456 Elm St, Anytown, CA,40787
79,5,Rodriguez,jrodriguez79@customer.com,555-676-3901,456 Elm St, Anytown, CA,46442
80,1,Martinez,jmartinez80@customer.com,555-761-1610,456 Elm St, Anytown, CA,74207
81,5,Hernandez,jhernandez81@customer.com,555-104-5650,456 Elm St, Anytown, CA,14553
82,5,Lopez,jlopez82@customer.com,555-100-8488,456 Elm St, Anytown, CA,85661
83,5,Gonzalez,jgonzalez83@customer.com,555-630-0957,456 Elm St, Anytown, CA,11785
84,4,Wilson,jwilson84@customer.com,555-642-8378,456 Elm St, Anytown, CA,86517
85,1,Anderson,janderson85@customer.com,555-666-3252,456 Elm St, Anytown, CA,46770
86,5,Thomas,jthomas86@customer.com,555-378-0250,456 Elm St, Anytown, CA,75994
87,1,Taylor,jtaylor87@customer.com,555-396-6876,456 Elm St, Anytown, CA,75969
88,4,Moore,jmoore88@customer.com,555-632-3300,456 Elm St, Anytown, CA,37173
89,1,Jackson,jjackson89@customer.com,555-166-8097,456 Elm St, Anytown, CA,35368
90,4,Martin,jmartin90@customer.com,555-039-3354,456 Elm St, Anytown, CA,18775
91,1,Peter,jpeter91@customer.com,555-118-6278,456 Elm St, Anytown, CA,38145
92,5,Victoria,jvictoria92@customer.com,555-709-2161,456 Elm St, Anytown, CA,74860
93,1,Raymond,jraymond93@customer.com,555-251-4945,456 Elm St, Anytown, CA,28109
94,3,Julia,jjulia94@customer.com,555-498-3515,456 Elm St, Anytown, CA,49452
95,1,Scott,jscott95@customer.com,555-214-0998,456 Elm St, Anytown, CA,99168
96,4,Grace,jgrace96@customer.com,555-118-0860,456 Elm St, Anytown, CA,41743
97,2,Dennis,jdennis97@customer.com,555-133-8240,456 Elm St, Anytown, CA,26906
98,5,Evelyn,jevelyn98@customer.com,555-644-4546,456 Elm St, Anytown, CA,56216
99,1,Gregory,jgregory99@customer.com,555-515-9773,456 Elm St, Anytown, CA,96714
100,1,Anna,janna100@customer.com,555-382-3755,456 Elm St, Anytown, CA,69333
101,2,Walter,jwalter101@customer.com,555-037-4944,456 Elm St, Anytown, CA,81310
102,3,Rose,jrose102@customer.com,555-832-0509,456 Elm St, Anytown, CA,23578
103,5,Patrick,jpatrick103@customer.com,555-551-4846,456 Elm St, Anytown, CA,18335
104,3,Judith,jjudith104@customer.com,555-090-7877,456 Elm St, Anytown, CA,82523
105,3,Henry,jhenry105@customer.com,555-292-3627,456 Elm St, Anytown, CA,56482
106,2,Christina,jchristina106@customer.com,555-910-6126,456 Elm St, Anytown, CA,37102
107,5,Douglas,jdouglas107@customer.com,555-895-1471,456 Elm St, Anytown, CA,49970
108,4,Maria,jmaria108@customer.com,555-474-9753,456 Elm St, Anytown, CA,58068
109,4,Harold,jharold109@customer.com,555-444-5878,456 Elm St, Anytown, CA,20045
110,5,Nicole,jnicole110@customer.com,555-535-6155,456 Elm St, Anytown, CA,96273
111,2,Alexander,jalexander111@customer.com,555-359-2426,456 Elm St, Anytown, CA,21400
112,2,Megan,jmegan112@customer.com,555-428-7697,456 Elm St, Anytown, CA,79333
113,4,Samuel,jsamuel113@customer.com,555-239-3188,456 Elm St, Anytown, CA,33889
114,3,Dorothy,jdorothy114@customer.com,555-666-7997,456 Elm St, Anytown, CA,89204
115,1,Frank,jfrank115@customer.com,555-463-9593,456 Elm St, Anytown, CA,61155
116,1,Sophia,jsophia116@customer.com,555-126-1782,456 Elm St, Anytown, CA,84755
117,3,Lawrence,jlawrence117@customer.com,555-547-6407,456 Elm St, Anytown, CA,69930
118,1,Alice,jalice118@customer.com,555-210-6916,456 Elm St, Anytown, CA,90801
119,5,Arthur,jarthur119@customer.com,555-555-6199,456 Elm St, Anytown, CA,27204
120,4,Ruth,jruth120@customer.com,555-238-5452,456 Elm St, Anytown, CA,83378
